clip,gt_wpm,computed_wpm,error_pct,word_count,speaking_duration_s,granularity,avg_gap_s,median_dur_s
ru_clean,111.1,112.9,1.6,292,155.2,mixed,0.0605,0.4000
ru_noisy,109.6,108.8,0.7,288,158.8,mixed,0.0641,0.4000
